timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768076290848,1117,2. POST Login,200,OK,Thread Group 1-55,text,true,,4524,532,100,100,http://localhost:8080/web/index.php/auth/login,619,0,0
1768076290845,619,2. POST Login-0,302,Found,Thread Group 1-12,text,true,,698,347,100,100,http://localhost:8080/web/index.php/auth/validate,618,0,1
1768076290848,619,2. POST Login-0,302,Found,Thread Group 1-55,text,true,,698,345,100,100,http://localhost:8080/web/index.php/auth/validate,619,0,0
1768076291464,500,2. POST Login-1,200,OK,Thread Group 1-12,text,true,,3820,187,100,100,http://localhost:8080/web/index.php/auth/login,499,0,0
1768076291468,497,2. POST Login-1,200,OK,Thread Group 1-55,text,true,,3826,187,100,100,http://localhost:8080/web/index.php/auth/login,497,0,0
1768076290886,1101,2. POST Login,200,OK,Thread Group 1-11,text,true,,4532,532,100,100,http://localhost:8080/web/index.php/auth/login,587,0,1
1768076290886,587,2. POST Login-0,302,Found,Thread Group 1-11,text,true,,698,345,100,100,http://localhost:8080/web/index.php/auth/validate,587,0,1
1768076291473,514,2. POST Login-1,200,OK,Thread Group 1-11,text,true,,3834,187,100,100,http://localhost:8080/web/index.php/auth/login,514,0,1
1768076290854,1135,2. POST Login,200,OK,Thread Group 1-14,text,true,,4506,529,100,100,http://localhost:8080/web/index.php/auth/login,617,0,1
1768076290854,617,2. POST Login-0,302,Found,Thread Group 1-14,text,true,,698,342,100,100,http://localhost:8080/web/index.php/auth/validate,617,0,1
1768076291471,518,2. POST Login-1,200,OK,Thread Group 1-14,text,true,,3808,187,100,100,http://localhost:8080/web/index.php/auth/login,517,0,0
1768076290892,1101,2. POST Login,200,OK,Thread Group 1-58,text,true,,4512,534,100,100,http://localhost:8080/web/index.php/auth/login,592,0,0
1768076290892,593,2. POST Login-0,302,Found,Thread Group 1-58,text,true,,698,347,100,100,http://localhost:8080/web/index.php/auth/validate,592,0,0
1768076291485,508,2. POST Login-1,200,OK,Thread Group 1-58,text,true,,3814,187,100,100,http://localhost:8080/web/index.php/auth/login,508,0,0
1768076290891,1111,2. POST Login,200,OK,Thread Group 1-7,text,true,,4513,532,100,100,http://localhost:8080/web/index.php/auth/login,604,0,0
1768076290891,605,2. POST Login-0,302,Found,Thread Group 1-7,text,true,,698,345,100,100,http://localhost:8080/web/index.php/auth/validate,604,0,0
1768076291496,506,2. POST Login-1,200,OK,Thread Group 1-7,text,true,,3815,187,100,100,http://localhost:8080/web/index.php/auth/login,505,0,0
1768076290903,1102,2. POST Login,200,OK,Thread Group 1-21,text,true,,4517,532,100,100,http://localhost:8080/web/index.php/auth/login,596,0,1
1768076290903,596,2. POST Login-0,302,Found,Thread Group 1-21,text,true,,698,345,100,100,http://localhost:8080/web/index.php/auth/validate,596,0,1
1768076291500,505,2. POST Login-1,200,OK,Thread Group 1-21,text,true,,3819,187,100,100,http://localhost:8080/web/index.php/auth/login,504,0,0
1768076290897,1117,2. POST Login,200,OK,Thread Group 1-95,text,true,,4520,534,100,100,http://localhost:8080/web/index.php/auth/login,606,0,0
1768076290897,606,2. POST Login-0,302,Found,Thread Group 1-95,text,true,,698,347,100,100,http://localhost:8080/web/index.php/auth/validate,606,0,0
1768076291503,511,2. POST Login-1,200,OK,Thread Group 1-95,text,true,,3822,187,100,100,http://localhost:8080/web/index.php/auth/login,511,0,1
1768076290897,1120,2. POST Login,200,OK,Thread Group 1-54,text,true,,4524,536,100,100,http://localhost:8080/web/index.php/auth/login,605,0,0
1768076290903,1114,2. POST Login,200,OK,Thread Group 1-24,text,true,,4514,534,100,100,http://localhost:8080/web/index.php/auth/login,596,0,1
1768076290897,605,2. POST Login-0,302,Found,Thread Group 1-54,text,true,,698,349,100,100,http://localhost:8080/web/index.php/auth/validate,605,0,0
1768076290903,597,2. POST Login-0,302,Found,Thread Group 1-24,text,true,,698,347,100,100,http://localhost:8080/web/index.php/auth/validate,596,0,1
1768076291502,515,2. POST Login-1,200,OK,Thread Group 1-54,text,true,,3826,187,100,100,http://localhost:8080/web/index.php/auth/login,514,0,1
1768076291500,517,2. POST Login-1,200,OK,Thread Group 1-24,text,true,,3816,187,100,100,http://localhost:8080/web/index.php/auth/login,516,0,1
1768076290937,1103,2. POST Login,200,OK,Thread Group 1-19,text,true,,4523,532,100,100,http://localhost:8080/web/index.php/auth/login,585,0,0
1768076290937,586,2. POST Login-0,302,Found,Thread Group 1-19,text,true,,698,345,100,100,http://localhost:8080/web/index.php/auth/validate,585,0,0
1768076291523,517,2. POST Login-1,200,OK,Thread Group 1-19,text,true,,3825,187,100,100,http://localhost:8080/web/index.php/auth/login,517,0,0
1768076290936,1105,2. POST Login,200,OK,Thread Group 1-26,text,true,,4532,534,100,100,http://localhost:8080/web/index.php/auth/login,570,0,1
1768076290936,570,2. POST Login-0,302,Found,Thread Group 1-26,text,true,,698,347,100,100,http://localhost:8080/web/index.php/auth/validate,570,0,1
1768076291506,535,2. POST Login-1,200,OK,Thread Group 1-26,text,true,,3834,187,100,100,http://localhost:8080/web/index.php/auth/login,535,0,1
1768076290935,1108,2. POST Login,200,OK,Thread Group 1-97,text,true,,4508,532,100,100,http://localhost:8080/web/index.php/auth/login,575,0,0
1768076290935,576,2. POST Login-0,302,Found,Thread Group 1-97,text,true,,698,345,100,100,http://localhost:8080/web/index.php/auth/validate,575,0,0
1768076291511,532,2. POST Login-1,200,OK,Thread Group 1-97,text,true,,3810,187,100,100,http://localhost:8080/web/index.php/auth/login,531,0,0
1768076290947,1112,2. POST Login,200,OK,Thread Group 1-99,text,true,,4508,532,100,100,http://localhost:8080/web/index.php/auth/login,590,0,1
1768076290947,590,2. POST Login-0,302,Found,Thread Group 1-99,text,true,,698,345,100,100,http://localhost:8080/web/index.php/auth/validate,590,0,1
1768076291537,522,2. POST Login-1,200,OK,Thread Group 1-99,text,true,,3810,187,100,100,http://localhost:8080/web/index.php/auth/login,518,0,1
1768076290947,1112,2. POST Login,200,OK,Thread Group 1-29,text,true,,4525,532,100,100,http://localhost:8080/web/index.php/auth/login,590,0,1
1768076290947,590,2. POST Login-0,302,Found,Thread Group 1-29,text,true,,698,345,100,100,http://localhost:8080/web/index.php/auth/validate,590,0,1
1768076291537,522,2. POST Login-1,200,OK,Thread Group 1-29,text,true,,3827,187,100,100,http://localhost:8080/web/index.php/auth/login,522,0,1
1768076290947,1123,2. POST Login,200,OK,Thread Group 1-60,text,true,,4510,535,100,100,http://localhost:8080/web/index.php/auth/login,593,0,1
1768076290947,593,2. POST Login-0,302,Found,Thread Group 1-60,text,true,,698,348,100,100,http://localhost:8080/web/index.php/auth/validate,593,0,1
1768076291541,529,2. POST Login-1,200,OK,Thread Group 1-60,text,true,,3812,187,100,100,http://localhost:8080/web/index.php/auth/login,529,0,0
1768076290947,1126,2. POST Login,200,OK,Thread Group 1-28,text,true,,4513,534,100,100,http://localhost:8080/web/index.php/auth/login,594,0,1
1768076290947,595,2. POST Login-0,302,Found,Thread Group 1-28,text,true,,698,347,100,100,http://localhost:8080/web/index.php/auth/validate,594,0,1
1768076291542,531,2. POST Login-1,200,OK,Thread Group 1-28,text,true,,3815,187,100,100,http://localhost:8080/web/index.php/auth/login,530,0,0
1768076290975,1101,2. POST Login,200,OK,Thread Group 1-31,text,true,,4526,533,100,100,http://localhost:8080/web/index.php/auth/login,570,0,0
1768076290975,570,2. POST Login-0,302,Found,Thread Group 1-31,text,true,,698,346,100,100,http://localhost:8080/web/index.php/auth/validate,570,0,0
1768076291545,531,2. POST Login-1,200,OK,Thread Group 1-31,text,true,,3828,187,100,100,http://localhost:8080/web/index.php/auth/login,530,0,1
1768076290986,1107,2. POST Login,200,OK,Thread Group 1-34,text,true,,4515,533,100,100,http://localhost:8080/web/index.php/auth/login,570,0,1
1768076290986,571,2. POST Login-0,302,Found,Thread Group 1-34,text,true,,698,346,100,100,http://localhost:8080/web/index.php/auth/validate,570,0,1
1768076291557,536,2. POST Login-1,200,OK,Thread Group 1-34,text,true,,3817,187,100,100,http://localhost:8080/web/index.php/auth/login,536,0,0
1768076290986,1108,2. POST Login,200,OK,Thread Group 1-41,text,true,,4520,532,100,100,http://localhost:8080/web/index.php/auth/login,564,0,1
1768076290986,564,2. POST Login-0,302,Found,Thread Group 1-41,text,true,,698,345,100,100,http://localhost:8080/web/index.php/auth/validate,564,0,1
1768076291550,544,2. POST Login-1,200,OK,Thread Group 1-41,text,true,,3822,187,100,100,http://localhost:8080/web/index.php/auth/login,544,0,1
1768076291013,1085,2. POST Login,200,OK,Thread Group 1-37,text,true,,4506,529,100,100,http://localhost:8080/web/index.php/auth/login,560,0,0
1768076291013,560,2. POST Login-0,302,Found,Thread Group 1-37,text,true,,698,342,100,100,http://localhost:8080/web/index.php/auth/validate,560,0,0
1768076291573,525,2. POST Login-1,200,OK,Thread Group 1-37,text,true,,3808,187,100,100,http://localhost:8080/web/index.php/auth/login,524,0,0
1768076290998,1102,2. POST Login,200,OK,Thread Group 1-30,text,true,,4526,533,100,100,http://localhost:8080/web/index.php/auth/login,575,0,0
1768076290998,575,2. POST Login-0,302,Found,Thread Group 1-30,text,true,,698,346,100,100,http://localhost:8080/web/index.php/auth/validate,575,0,0
1768076291573,527,2. POST Login-1,200,OK,Thread Group 1-30,text,true,,3828,187,100,100,http://localhost:8080/web/index.php/auth/login,527,0,1
1768076290975,1127,2. POST Login,200,OK,Thread Group 1-98,text,true,,4520,532,100,100,http://localhost:8080/web/index.php/auth/login,576,0,0
1768076290975,576,2. POST Login-0,302,Found,Thread Group 1-98,text,true,,698,345,100,100,http://localhost:8080/web/index.php/auth/validate,576,0,0
1768076291551,551,2. POST Login-1,200,OK,Thread Group 1-98,text,true,,3822,187,100,100,http://localhost:8080/web/index.php/auth/login,549,0,0
1768076291000,1118,2. POST Login,200,OK,Thread Group 1-35,text,true,,4511,529,100,100,http://localhost:8080/web/index.php/auth/login,579,0,1
1768076291000,580,2. POST Login-0,302,Found,Thread Group 1-35,text,true,,698,342,100,100,http://localhost:8080/web/index.php/auth/validate,579,0,1
1768076291580,538,2. POST Login-1,200,OK,Thread Group 1-35,text,true,,3813,187,100,100,http://localhost:8080/web/index.php/auth/login,538,0,0
1768076290991,1130,2. POST Login,200,OK,Thread Group 1-32,text,true,,4522,532,100,100,http://localhost:8080/web/index.php/auth/login,589,0,1
1768076290991,589,2. POST Login-0,302,Found,Thread Group 1-32,text,true,,698,345,100,100,http://localhost:8080/web/index.php/auth/validate,589,0,1
1768076291580,541,2. POST Login-1,200,OK,Thread Group 1-32,text,true,,3824,187,100,100,http://localhost:8080/web/index.php/auth/login,541,0,0
1768076291037,1091,2. POST Login,200,OK,Thread Group 1-38,text,true,,4525,532,100,100,http://localhost:8080/web/index.php/auth/login,552,0,0
1768076291026,1102,2. POST Login,200,OK,Thread Group 1-36,text,true,,4523,535,100,100,http://localhost:8080/web/index.php/auth/login,555,0,1
1768076291037,552,2. POST Login-0,302,Found,Thread Group 1-38,text,true,,698,345,100,100,http://localhost:8080/web/index.php/auth/validate,552,0,0
1768076291026,555,2. POST Login-0,302,Found,Thread Group 1-36,text,true,,698,348,100,100,http://localhost:8080/web/index.php/auth/validate,555,0,1
1768076291589,539,2. POST Login-1,200,OK,Thread Group 1-38,text,true,,3827,187,100,100,http://localhost:8080/web/index.php/auth/login,538,0,1
