timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1768076150285,63,3. View My Leave,200,OK,Thread Group 1-129,text,true,,4374,385,2,2,http://localhost:8080/web/index.php/auth/login,27,0,1
1768076150285,27,3. View My Leave-0,302,Found,Thread Group 1-129,text,true,,698,198,2,2,http://localhost:8080/web/index.php/leave/viewMyLeaveList,27,0,1
1768076150313,35,3. View My Leave-1,200,OK,Thread Group 1-129,text,true,,3676,187,2,2,http://localhost:8080/web/index.php/auth/login,35,0,0
1768076150307,67,2. POST Login,200,OK,Thread Group 1-130,text,true,,4508,533,2,2,http://localhost:8080/web/index.php/auth/login,29,0,0
1768076150307,29,2. POST Login-0,302,Found,Thread Group 1-130,text,true,,698,346,2,2,http://localhost:8080/web/index.php/auth/validate,29,0,0
1768076150337,37,2. POST Login-1,200,OK,Thread Group 1-130,text,true,,3810,187,2,2,http://localhost:8080/web/index.php/auth/login,37,0,0
1768076150361,37,1. GET Login Page,200,OK,Thread Group 1-131,text,true,,3777,140,2,2,http://localhost:8080/web/index.php/auth/login,37,0,0
1768076150375,64,3. View My Leave,200,OK,Thread Group 1-130,text,true,,4401,385,2,2,http://localhost:8080/web/index.php/auth/login,29,0,0
1768076150375,29,3. View My Leave-0,302,Found,Thread Group 1-130,text,true,,698,198,2,2,http://localhost:8080/web/index.php/leave/viewMyLeaveList,29,0,0
1768076150404,35,3. View My Leave-1,200,OK,Thread Group 1-130,text,true,,3703,187,2,2,http://localhost:8080/web/index.php/auth/login,35,0,1
1768076150409,64,2. POST Login,200,OK,Thread Group 1-131,text,true,,4525,533,2,2,http://localhost:8080/web/index.php/auth/login,28,0,1
1768076150409,28,2. POST Login-0,302,Found,Thread Group 1-131,text,true,,698,346,2,2,http://localhost:8080/web/index.php/auth/validate,28,0,1
1768076150438,35,2. POST Login-1,200,OK,Thread Group 1-131,text,true,,3827,187,2,2,http://localhost:8080/web/index.php/auth/login,34,0,0
1768076150462,34,1. GET Login Page,200,OK,Thread Group 1-132,text,true,,3771,140,2,2,http://localhost:8080/web/index.php/auth/login,34,0,0
1768076150473,64,3. View My Leave,200,OK,Thread Group 1-131,text,true,,4375,385,2,2,http://localhost:8080/web/index.php/auth/login,28,0,0
1768076150473,29,3. View My Leave-0,302,Found,Thread Group 1-131,text,true,,698,198,2,2,http://localhost:8080/web/index.php/leave/viewMyLeaveList,28,0,0
1768076150502,35,3. View My Leave-1,200,OK,Thread Group 1-131,text,true,,3677,187,2,2,http://localhost:8080/web/index.php/auth/login,34,0,0
1768076150497,65,2. POST Login,200,OK,Thread Group 1-132,text,true,,4509,529,1,1,http://localhost:8080/web/index.php/auth/login,30,0,1
1768076150497,30,2. POST Login-0,302,Found,Thread Group 1-132,text,true,,698,342,1,1,http://localhost:8080/web/index.php/auth/validate,30,0,1
1768076150528,34,2. POST Login-1,200,OK,Thread Group 1-132,text,true,,3811,187,1,1,http://localhost:8080/web/index.php/auth/login,34,0,0
1768076150563,38,1. GET Login Page,200,OK,Thread Group 1-133,text,true,,3774,140,2,2,http://localhost:8080/web/index.php/auth/login,38,0,1
1768076150563,68,3. View My Leave,200,OK,Thread Group 1-132,text,true,,4395,385,2,2,http://localhost:8080/web/index.php/auth/login,30,0,0
1768076150563,30,3. View My Leave-0,302,Found,Thread Group 1-132,text,true,,698,198,2,2,http://localhost:8080/web/index.php/leave/viewMyLeaveList,30,0,0
1768076150593,38,3. View My Leave-1,200,OK,Thread Group 1-132,text,true,,3697,187,2,2,http://localhost:8080/web/index.php/auth/login,38,0,0
1768076150602,73,2. POST Login,200,OK,Thread Group 1-133,text,true,,4505,532,2,2,http://localhost:8080/web/index.php/auth/login,33,0,1
1768076150602,33,2. POST Login-0,302,Found,Thread Group 1-133,text,true,,698,345,2,2,http://localhost:8080/web/index.php/auth/validate,33,0,1
1768076150635,40,2. POST Login-1,200,OK,Thread Group 1-133,text,true,,3807,187,2,2,http://localhost:8080/web/index.php/auth/login,39,0,1
1768076150667,37,1. GET Login Page,200,OK,Thread Group 1-134,text,true,,3782,140,2,2,http://localhost:8080/web/index.php/auth/login,36,0,1
1768076150675,65,3. View My Leave,200,OK,Thread Group 1-133,text,true,,4384,385,2,2,http://localhost:8080/web/index.php/auth/login,27,0,0
1768076150675,27,3. View My Leave-0,302,Found,Thread Group 1-133,text,true,,698,198,2,2,http://localhost:8080/web/index.php/leave/viewMyLeaveList,27,0,0
1768076150703,37,3. View My Leave-1,200,OK,Thread Group 1-133,text,true,,3686,187,2,2,http://localhost:8080/web/index.php/auth/login,37,0,0
1768076150705,67,2. POST Login,200,OK,Thread Group 1-134,text,true,,4507,535,2,2,http://localhost:8080/web/index.php/auth/login,28,0,0
1768076150705,28,2. POST Login-0,302,Found,Thread Group 1-134,text,true,,698,348,2,2,http://localhost:8080/web/index.php/auth/validate,28,0,0
1768076150733,39,2. POST Login-1,200,OK,Thread Group 1-134,text,true,,3809,187,2,2,http://localhost:8080/web/index.php/auth/login,39,0,1
1768076150763,37,1. GET Login Page,200,OK,Thread Group 1-135,text,true,,3786,140,2,2,http://localhost:8080/web/index.php/auth/login,37,0,0
1768076150772,64,3. View My Leave,200,OK,Thread Group 1-134,text,true,,4391,385,2,2,http://localhost:8080/web/index.php/auth/login,28,0,1
1768076150772,29,3. View My Leave-0,302,Found,Thread Group 1-134,text,true,,698,198,2,2,http://localhost:8080/web/index.php/leave/viewMyLeaveList,28,0,1
1768076150801,35,3. View My Leave-1,200,OK,Thread Group 1-134,text,true,,3693,187,2,2,http://localhost:8080/web/index.php/auth/login,35,0,0
1768076150801,65,2. POST Login,200,OK,Thread Group 1-135,text,true,,4514,533,2,2,http://localhost:8080/web/index.php/auth/login,27,0,0
1768076150801,28,2. POST Login-0,302,Found,Thread Group 1-135,text,true,,698,346,2,2,http://localhost:8080/web/index.php/auth/validate,27,0,0
1768076150829,37,2. POST Login-1,200,OK,Thread Group 1-135,text,true,,3816,187,2,2,http://localhost:8080/web/index.php/auth/login,37,0,0
1768076150861,37,1. GET Login Page,200,OK,Thread Group 1-136,text,true,,3786,140,2,2,http://localhost:8080/web/index.php/auth/login,36,0,0
1768076150867,64,3. View My Leave,200,OK,Thread Group 1-135,text,true,,4387,385,2,2,http://localhost:8080/web/index.php/auth/login,27,0,0
1768076150867,27,3. View My Leave-0,302,Found,Thread Group 1-135,text,true,,698,198,2,2,http://localhost:8080/web/index.php/leave/viewMyLeaveList,27,0,0
1768076150894,37,3. View My Leave-1,200,OK,Thread Group 1-135,text,true,,3689,187,2,2,http://localhost:8080/web/index.php/auth/login,37,0,1
1768076150898,65,2. POST Login,200,OK,Thread Group 1-136,text,true,,4531,535,1,1,http://localhost:8080/web/index.php/auth/login,28,0,1
1768076150898,28,2. POST Login-0,302,Found,Thread Group 1-136,text,true,,698,348,1,1,http://localhost:8080/web/index.php/auth/validate,28,0,1
1768076150926,37,2. POST Login-1,200,OK,Thread Group 1-136,text,true,,3833,187,1,1,http://localhost:8080/web/index.php/auth/login,37,0,1
1768076150969,33,1. GET Login Page,200,OK,Thread Group 1-137,text,true,,3774,140,2,2,http://localhost:8080/web/index.php/auth/login,33,0,1
